lcl,Median,ucl,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.100,Rhat,parameter,Year,demographic,Scenario
798.326672240341,1206.58054131227,1697.43491353531,1230.64173364405,234.591014869599,1174.58363579687,7.02298007741477,3,1116,0.832802910725064,1.00263392301604,"Ntot.f[3,21]",2042,pop.size,unsuccessful mouse eradication and worsening impacts
2151.37520099572,3299.60630174901,4717.33218926206,3370.15553189162,667.551046612068,3179.45775983862,21.1835365908583,3.2,993,0.864854765848096,1.0022931138052,"Ntot.f[1,22]",2043,pop.size,"past, and no future change"
3144.53843401981,5180.26416275323,7768.82049363698,5314.66501275,1201.94621024988,4985.21703146635,45.1045119281614,3.8,710,0.886532635531311,1.00229285548631,"Ntot.f[2,22]",2043,pop.size,after successful mouse eradication
728.353181019937,1126.22308993871,1603.65022554194,1150.48228746037,228.932312508214,1086.42219564996,6.85874670346606,3,1114,0.832941238435841,1.00260241109679,"Ntot.f[3,22]",2043,pop.size,unsuccessful mouse eradication and worsening impacts
2110.00130446475,3271.54663634138,4759.31792707918,3346.88206422364,691.184364653176,3144.70363870272,22.165023002959,3.2,972,0.865419664082569,1.00226931080184,"Ntot.f[1,23]",2044,pop.size,"past, and no future change"
3065.92660574741,5234.23825813801,7943.05977969446,5382.09378462161,1266.19711952958,5024.88946517555,46.6089311709584,3.7,738,0.886791784024609,1.00231076175961,"Ntot.f[2,23]",2044,pop.size,after successful mouse eradication
669.667889049578,1051.00534148798,1520.64781750015,1075.53493022348,223.039827642602,1011.91848595053,6.68975651970585,3,1112,0.833057778732039,1.00260348901316,"Ntot.f[3,23]",2044,pop.size,unsuccessful mouse eradication and worsening impacts
2058.51547006335,3243.00010911084,4791.05881055343,3324.01226028147,714.607071482777,3111.30918577325,22.9402496857157,3.2,970,0.865956273178274,1.0022444254832,"Ntot.f[1,24]",2045,pop.size,"past, and no future change"
3025.83513030698,5289.86423365657,8148.45511676419,5450.34750280545,1331.09210033986,5052.90138923487,49.0084831966119,3.7,738,0.886961671207445,1.00231294888495,"Ntot.f[2,24]",2045,pop.size,after successful mouse eradication
609.27464628296,980.742162920563,1436.27431805422,1005.72341504209,216.974621611202,941.701946569529,6.5124357089527,3,1110,0.833215250688786,1.00258164473021,"Ntot.f[3,24]",2045,pop.size,unsuccessful mouse eradication and worsening impacts
1986.82760163146,3214.75518150773,4805.030661849,3301.58355730677,737.677003485081,3075.74015717332,23.7113255055754,3.2,968,0.866416749630743,1.00223761613168,"Ntot.f[1,25]",2046,pop.size,"past, and no future change"
2975.23098793213,5346.1893137375,8355.48783764031,5519.35989676039,1396.09550948264,5143.73746144682,51.3826341371816,3.7,738,0.887102014342263,1.00232268014123,"Ntot.f[2,25]",2046,pop.size,after successful mouse eradication
