parameter,mean,median,lcl,ucl
"IM[16,27,1]",0.933273333333333,1,0,1
"IM[16,28,1]",0.928128333333333,1,0,1
"IM[16,29,1]",0.923088333333333,1,0,1
"IM[16,3,1]",69.1160983333333,69,50,90
"IM[16,30,1]",0.92372,1,0,1
"IM[16,4,1]",157.032171666667,157,121,196
"IM[16,5,1]",53.1700466666667,53,38,70
"IM[16,6,1]",154.379411666667,154,117,194
"IM[16,7,1]",56.6039016666667,56,42,73
"IM[16,8,1]",105.052955,105,68,146
"IM[16,9,1]",28.6103166666667,28,20,39
"IM[17,1,1]",210.66341,210,175,249
"IM[17,10,1]",18.3654666666667,18,12,25
"IM[17,11,1]",47.3818866666667,47,22,75
"IM[17,12,1]",7.86547166666667,8,5,12
"IM[17,13,1]",31.62736,32,8,55
"IM[17,14,1]",21.2425916666667,13,7,63
"IM[17,15,1]",3.37254666666667,3,2,6
"IM[17,16,1]",115.476751666667,115,87,145
"IM[17,17,1]",3.86881333333333,4,2,6
"IM[17,18,1]",14.3298966666667,14,3,28
"IM[17,19,1]",3.80451833333333,2,1,21
"IM[17,2,1]",108.807641666667,108,83,137
"IM[17,20,1]",8.87420833333333,8,1,24
"IM[17,21,1]",5.18394666666667,1,1,23
"IM[17,22,1]",5.93882166666667,2,1,23
"IM[17,23,1]",1.03205333333333,1,1,2
"IM[17,24,1]",1.08466166666667,1,1,2
"IM[17,25,1]",1.01893,1,1,2
"IM[17,26,1]",1.00876833333333,1,1,1
"IM[17,27,1]",0.990298333333333,1,1,1
"IM[17,28,1]",0.992635,1,1,1
"IM[17,29,1]",0.985668333333333,1,1,1
"IM[17,3,1]",220.764938333333,220,176,268
"IM[17,30,1]",0.984093333333333,1,1,1
"IM[17,4,1]",55.272785,55,40,73
"IM[17,5,1]",142.90605,142,106,182
"IM[17,6,1]",40.1063616666667,40,28,54
"IM[17,7,1]",141.42589,141,104,182
"IM[17,8,1]",39.707115,39,29,52
"IM[17,9,1]",90.782015,90,53,132
"IM[18,1,1]",215.820785,215,174,263
"IM[18,10,1]",82.6546183333333,82,45,124
"IM[18,11,1]",13.8268333333333,14,9,19
"IM[18,12,1]",43.0065216666667,43,17,70
"IM[18,13,1]",5.508215,5,3,9
"IM[18,14,1]",29.3749183333333,30,5,53
"IM[18,15,1]",16.4786016666667,9,4,59
"IM[18,16,1]",2.074905,2,1,4
"IM[18,17,1]",112.79017,113,84,142
"IM[18,18,1]",2.13980333333333,2,1,4
"IM[18,19,1]",13.0943333333333,13,2,27
"IM[18,2,1]",207.25974,207,172,245
"IM[18,20,1]",2.81264333333334,1,1,19
"IM[18,21,1]",8.21145833333334,7,1,23
"IM[18,22,1]",4.79513333333333,1,1,22
"IM[18,23,1]",5.79545,1,1,22
"IM[18,24,1]",1.01923,1,1,1
"IM[18,25,1]",1.067275,1,1,2
"IM[18,26,1]",1.00822333333333,1,1,1
"IM[18,27,1]",1.003415,1,1,1
"IM[18,28,1]",0.988698333333333,1,1,1
"IM[18,29,1]",0.99142,1,1,1
"IM[18,3,1]",97.3131016666667,97,74,123
"IM[18,4,1]",207.18478,207,163,254
"IM[18,5,1]",48.0185583333333,48,34,63
"IM[18,6,1]",134.287811666667,134,98,174
"IM[18,7,1]",33.5725333333333,33,23,45
"IM[18,8,1]",133.549538333333,133,96,174
"IM[18,9,1]",31.714275,31,23,42
"IM[2,1,1]",406.274336666667,407,348,463
"IM[2,10,1]",99.450855,99,68,137
"IM[2,11,1]",61.8089316666667,60,35,97
"IM[2,12,1]",36.5238833333333,35,16,66
"IM[2,13,1]",20.4713116666667,19,7,43
"IM[2,14,1]",10.8790283333333,10,2,27
"IM[2,15,1]",5.485285,4,1,16
"IM[2,16,1]",2.74355,2,1,9
"IM[2,17,1]",1.56150833333333,1,0,5
"IM[2,18,1]",1.12856333333333,1,0,3
"IM[2,19,1]",0.99418,1,0,2
"IM[2,2,1]",306.739193333333,307,293,318
"IM[2,20,1]",0.957498333333333,1,0,1
"IM[2,21,1]",0.947421666666667,1,0,1
"IM[2,22,1]",0.945176666666667,1,0,1
"IM[2,23,1]",0.945531666666667,1,0,1
"IM[2,24,1]",0.945113333333333,1,0,1
"IM[2,25,1]",0.944806666666667,1,0,1
"IM[2,26,1]",0.945465,1,0,1
"IM[2,27,1]",0.945401666666667,1,0,1
"IM[2,28,1]",0.945096666666667,1,0,1
"IM[2,29,1]",0.945658333333333,1,0,1
"IM[2,3,1]",306.740201666667,307,294,318
"IM[2,30,1]",0.945728333333333,1,0,1
"IM[2,4,1]",306.563573333333,307,293,318
"IM[2,5,1]",306.65769,307,293,318
"IM[2,6,1]",306.88364,307,294,318
"IM[2,7,1]",306.389236666667,307,293,318
"IM[2,8,1]",221.605303333333,222,196,247
"IM[2,9,1]",152.21914,152,120,188
"IM[3,1,1]",119.815565,120,94,148
"IM[3,10,1]",147.607065,147,116,183
"IM[3,11,1]",96.4781733333333,96,65,134
"IM[3,12,1]",59.9827366666667,59,34,95
"IM[3,13,1]",35.4546433333333,34,16,64
"IM[3,14,1]",19.8775,18,6,42
"IM[3,15,1]",10.5671983333333,9,2,26
"IM[3,16,1]",5.33284333333333,4,1,16
"IM[3,17,1]",2.683275,2,1,9
"IM[3,18,1]",1.550495,1,1,5
"IM[3,19,1]",1.14283666666667,1,1,3
"IM[3,2,1]",393.413611666667,394,338,446
"IM[3,20,1]",1.01619,1,0,2
"IM[3,21,1]",0.983193333333333,1,0,1
"IM[3,22,1]",0.971973333333333,1,0,1
"IM[3,23,1]",0.97099,1,0,1
"IM[3,24,1]",0.96983,1,0,1
"IM[3,25,1]",0.971118333333333,1,0,1
"IM[3,26,1]",0.969913333333333,1,0,1
"IM[3,27,1]",0.971023333333333,1,0,1
"IM[3,28,1]",0.969536666666667,1,0,1
"IM[3,29,1]",0.971023333333333,1,0,1
"IM[3,3,1]",297.398701666667,298,283,310
"IM[3,30,1]",0.9701,1,0,1
"IM[3,4,1]",297.38034,298,283,310
"IM[3,5,1]",297.087461666667,297,283,310
"IM[3,6,1]",297.190706666667,297,283,310
"IM[3,7,1]",297.488113333333,298,284,310
"IM[3,8,1]",296.635343333333,297,282,309
"IM[3,9,1]",214.790601666667,215,189,240
"IM[4,1,1]",226.93752,226,183,273
