BirdID,AGE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GO-16-18-5389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-5412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GO-16-18-5494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-5575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-5577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-5614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
GO-16-18-848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
