"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.100","Rhat","parameter","Year","demographic"
1480.41139493848,1958.28186231971,2502.46286755744,1978.90644179111,263.125801423531,1920.57839301426,7.74343418392349,2.9,1155,0.830306534920988,1.0027678896567,"Ntot.f[3,14]",2035,"pop.size"
2615.3370627681,3503.80864659663,4535.71860556002,3543.51427776213,494.070197122275,3464.51284472446,15.3508018225865,3.1,1036,0.858378686117278,1.00252696859588,"Ntot.f[1,15]",2036,"pop.size"
3399.69899310776,4810.12770096292,6410.31778492913,4873.51669703087,777.682655082372,4694.8187022341,28.3116820707834,3.6,755,0.881675333950645,1.00239962220312,"Ntot.f[2,15]",2036,"pop.size"
1360.77606835958,1826.23309833633,2370.97466639635,1848.0563928898,260.859710143223,1796.1138794021,7.70309196158005,3,1147,0.830855043089277,1.00273033406427,"Ntot.f[3,15]",2036,"pop.size"
2553.4398802625,3473.05210962563,4571.45125284974,3517.27775058152,519.642390220732,3418.25841317903,16.213543486614,3.1,1027,0.85971280659433,1.0024610322149,"Ntot.f[1,16]",2037,"pop.size"
3378.55242118585,4861.08297061388,6607.38006591147,4932.70432802729,834.811838074675,4752.86206659881,30.5030939910664,3.7,749,0.882835869453327,1.0024018437834,"Ntot.f[2,16]",2037,"pop.size"
1245.76098782819,1703.88632607843,2243.77706541663,1726.32262522827,257.815556392382,1657.96873595662,7.661124376857,3,1132,0.831341398859974,1.00273630145998,"Ntot.f[3,16]",2037,"pop.size"
2485.88598806673,3443.71229932702,4598.6163729923,3491.65230477147,545.061725030896,3382.4156603042,17.2291677095202,3.2,1001,0.860889149557059,1.00242516532438,"Ntot.f[1,17]",2038,"pop.size"
3337.43422671095,4913.01701020054,6788.76167807389,4993.16739408353,893.235947094773,4806.47448373492,32.2668385712654,3.6,766,0.883864082315745,1.00237573400691,"Ntot.f[2,17]",2038,"pop.size"
1130.69957252632,1589.72245947369,2111.40952937548,1612.93498618597,254.091393384919,1558.91238467535,7.60540224687895,3,1116,0.831751302597939,1.00267375987948,"Ntot.f[3,17]",2038,"pop.size"
2418.21608596332,3414.63442094166,4626.46265024272,3466.57817875509,570.106101076791,3341.46840250647,18.0835119549291,3.2,994,0.861848430101665,1.00239784618033,"Ntot.f[1,18]",2039,"pop.size"
3288.05774368536,4964.14690727773,6961.03211369804,5054.95193168801,952.695709408377,4782.01698549888,35.4104869328929,3.7,724,0.884660126806247,1.00233825864316,"Ntot.f[2,18]",2039,"pop.size"
1033.69381878735,1483.28414257235,1998.21581399149,1507.11137603399,249.855200044287,1459.3029503908,7.45552391453802,3,1123,0.832085652086284,1.00266369858802,"Ntot.f[3,18]",2039,"pop.size"
2361.79088021401,3385.85850788468,4661.44818490198,3441.81699110596,594.849236450171,3278.59314596299,18.9105388852006,3.2,989,0.862705331886726,1.00235217421397,"Ntot.f[1,19]",2040,"pop.size"
3251.72513742569,5017.56261315063,7156.85541734933,5118.25470361372,1013.52159303439,4837.16366794327,37.0239203653887,3.7,749,0.885305118058478,1.00231989858644,"Ntot.f[2,19]",2040,"pop.size"
946.263302523953,1384.7323412339,1889.72746645992,1408.52898996147,245.105272225184,1345.73722915709,7.34843084728977,3,1113,0.832332733122157,1.00266631026688,"Ntot.f[3,19]",2040,"pop.size"
2300.30561679395,3356.83951398805,4689.52133268032,3417.60949232229,619.392290756196,3249.87800996144,19.7468552763866,3.2,984,0.86349169745601,1.00234764543558,"Ntot.f[1,20]",2041,"pop.size"
3207.55163510423,5072.06070276396,7348.77576271468,5182.53175316711,1075.379802385,4905.73302063883,40.1122040713443,3.7,719,0.885817928981451,1.00231073801326,"Ntot.f[2,20]",2041,"pop.size"
870.924966831247,1292.30513679864,1793.19400002576,1316.54259277452,240.021016301101,1254.05160823731,7.18449036975719,3,1116,0.832515501118186,1.00263819606909,"Ntot.f[3,20]",2041,"pop.size"
2246.67354231303,3328.56026733819,4726.87271699388,3393.72245510495,643.714672332316,3229.29733131577,20.5709603125179,3.2,979,0.864215450925183,1.00232937729134,"Ntot.f[1,21]",2042,"pop.size"
3170.92282698204,5125.89912114885,7549.34520541396,5247.90463138547,1138.27574669633,4890.77189948022,42.6619477690374,3.7,712,0.886228552527815,1.00229763160783,"Ntot.f[2,21]",2042,"pop.size"
798.326672240341,1206.58054131227,1697.43491353531,1230.64173364405,234.591014869599,1174.58363579687,7.02298007741477,3,1116,0.832802910725064,1.00263392301604,"Ntot.f[3,21]",2042,"pop.size"
2151.37520099572,3299.60630174901,4717.33218926206,3370.15553189162,667.551046612068,3179.45775983862,21.1835365908583,3.2,993,0.864854765848096,1.0022931138052,"Ntot.f[1,22]",2043,"pop.size"
3144.53843401981,5180.26416275323,7768.82049363698,5314.66501275,1201.94621024988,4985.21703146635,45.1045119281614,3.8,710,0.886532635531311,1.00229285548631,"Ntot.f[2,22]",2043,"pop.size"
728.353181019937,1126.22308993871,1603.65022554194,1150.48228746037,228.932312508213,1086.42219564996,6.85874670346606,3,1114,0.832941238435841,1.00260241109679,"Ntot.f[3,22]",2043,"pop.size"
2110.00130446475,3271.54663634138,4759.31792707918,3346.88206422364,691.184364653176,3144.70363870272,22.165023002959,3.2,972,0.865419664082569,1.00226931080184,"Ntot.f[1,23]",2044,"pop.size"
3065.92660574741,5234.23825813801,7943.05977969446,5382.09378462161,1266.19711952958,5024.88946517555,46.6089311709584,3.7,738,0.886791784024609,1.0023107617596,"Ntot.f[2,23]",2044,"pop.size"
669.667889049578,1051.00534148798,1520.64781750015,1075.53493022348,223.039827642602,1011.91848595053,6.68975651970585,3,1112,0.833057778732039,1.00260348901316,"Ntot.f[3,23]",2044,"pop.size"
2058.51547006335,3243.00010911084,4791.05881055342,3324.01226028147,714.607071482777,3111.30918577325,22.9402496857157,3.2,970,0.865956273178274,1.0022444254832,"Ntot.f[1,24]",2045,"pop.size"
3025.83513030698,5289.86423365657,8148.45511676419,5450.34750280545,1331.09210033986,5052.90138923487,49.0084831966118,3.7,738,0.886961671207445,1.00231294888495,"Ntot.f[2,24]",2045,"pop.size"
609.27464628296,980.742162920563,1436.27431805422,1005.72341504209,216.974621611202,941.701946569529,6.5124357089527,3,1110,0.833215250688786,1.00258164473021,"Ntot.f[3,24]",2045,"pop.size"
1986.82760163146,3214.75518150773,4805.030661849,3301.58355730677,737.677003485081,3075.74015717332,23.7113255055754,3.2,968,0.866416749630743,1.00223761613168,"Ntot.f[1,25]",2046,"pop.size"
